State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/16/2018,Parts per million,None,24,100,0.143833,0.162,0,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/17/2018,Parts per million,None,22,92,0.163182,0.208,1,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/18/2018,Parts per million,None,24,100,0.149083,0.157,17,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/19/2018,Parts per million,None,22,92,0.132136,0.151,0,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/20/2018,Parts per million,None,23,96,0.115043,0.152,19,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/21/2018,Parts per million,None,22,92,0.156409,0.214,16,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/22/2018,Parts per million,None,24,100,0.152833,0.171,7,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/23/2018,Parts per million,None,21,88,0.176619,0.189,22,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/24/2018,Parts per million,None,24,100,0.167875,0.192,6,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/25/2018,Parts per million,None,22,92,0.142227,0.16,0,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
